checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,100,5,0.1664501577615738,0.0,"{0: 4, 4: 90, 2: 2, 1: 3, 3: 1}",6.17
13000,100,1,3.5762786865234375e-07,3.5762786865234375e-07,{0: 100},7.63
23000,100,1,0.2837153375148773,0.2837153375148773,{0: 100},3.14
33000,100,2,0.29144003987312317,5.123401791706783e-08,"{0: 71, 1: 29}",3.44
43000,100,1,0.2846144437789917,0.2846144437789917,{0: 100},3.02
53000,100,1,0.28890374302864075,0.28890374302864075,{0: 100},3.21
63000,100,1,0.2803870439529419,0.2803870439529419,{0: 100},3.13
73000,100,1,0.2825857102870941,0.2825857102870941,{0: 100},3.15
83000,100,1,0.2798502743244171,0.2798502743244171,{0: 100},3.10
93000,100,1,0.2867094874382019,0.2867094874382019,{0: 100},3.21
103000,100,1,1.1920928955078125e-07,1.1920928955078125e-07,{0: 100},7.60
113000,100,1,0.0,0.0,{0: 100},8.01
123000,100,1,2.384185791015625e-07,2.384185791015625e-07,{0: 100},7.68
133000,100,1,1.1920928955078125e-07,1.1920928955078125e-07,{0: 100},7.80
143000,100,1,1.1920928955078125e-07,1.1920928955078125e-07,{0: 100},9.41
