checkpoint_step,n_examples,num_clusters,mean_dist,mean_intra,cluster_sizes,elapsed_sec
3000,40,8,0.8174033164978027,0.562139630317688,"{0: 17, 1: 9, 3: 3, 2: 4, 7: 3, 6: 2, 4: 1, 5: 1}",13.21
13000,66,11,0.788474977016449,0.4983224868774414,"{6: 31, 3: 10, 8: 2, 4: 4, 2: 3, 9: 2, 0: 6, 7: 2, 10: 1, 1: 3, 5: 2}",7.12
23000,42,7,0.7671346664428711,0.5926169753074646,"{0: 21, 2: 9, 3: 5, 6: 2, 1: 2, 5: 1, 4: 2}",6.49
33000,68,2,0.6710813641548157,0.5900259613990784,"{0: 14, 1: 54}",7.57
43000,61,3,0.6660779714584351,0.6155633330345154,"{2: 7, 0: 53, 1: 1}",7.38
53000,34,2,0.6755765676498413,0.5655146837234497,"{1: 24, 0: 10}",6.48
63000,36,3,0.6925464272499084,0.5960368514060974,"{0: 26, 1: 9, 2: 1}",8.92
73000,29,4,0.7236517667770386,0.474045068025589,"{1: 13, 0: 10, 2: 4, 3: 2}",6.31
83000,38,3,0.726252019405365,0.5723827481269836,"{0: 14, 1: 21, 2: 3}",7.36
93000,37,3,0.7322852611541748,0.6108894944190979,"{0: 15, 2: 21, 1: 1}",6.44
103000,24,4,0.7377539873123169,0.5905370116233826,"{0: 12, 2: 10, 3: 1, 1: 1}",6.46
113000,17,3,0.7243555784225464,0.6048927307128906,"{0: 10, 2: 6, 1: 1}",6.32
123000,8,3,0.7250016331672668,0.5544861555099487,"{0: 2, 1: 5, 2: 1}",7.30
133000,8,3,0.7465752959251404,0.6267989873886108,"{2: 2, 0: 5, 1: 1}",6.28
143000,8,3,0.7546528577804565,0.6162227392196655,"{1: 2, 0: 5, 2: 1}",6.81
